participant_id,experiment,num_correct,time,Age,Sex
318,conformal,90,412.5,34,Male
319,conformal,86,302.5,21,Male
320,conformal,89,661.0,74,Female
321,conformal,85,344.1,29,Male
322,conformal,87,189.4,31,Female
323,conformal,89,257.0,23,Male
324,conformal,86,378.3,26,Male
325,conformal,90,230.9,24,Male
326,conformal,95,258.8,24,Male
327,conformal,95,287.0,26,Female
328,conformal,93,175.2,24,Male
329,conformal,87,332.6,37,Female
330,conformal,89,328.7,25,Female
331,conformal,90,397.2,22,Female
332,conformal,83,388.2,38,Female
333,conformal,89,374.8,49,Female
334,conformal,90,258.7,25,Female
335,conformal,88,496.6,58,Male
336,conformal,86,210.0,19,Male
337,conformal,85,365.9,28,Female
338,conformal,87,290.7,21,Female
339,conformal,76,351.2,42,Female
340,conformal,92,259.6,24,Female
341,conformal,92,205.1,21,Male
342,conformal,92,570.4,29,Male
343,conformal,91,231.2,29,Male
344,conformal,83,365.0,30,Male
345,conformal,93,245.4,28,Female
346,conformal,86,217.6,21,Male
347,conformal,89,398.0,24,Female
348,conformal,86,525.2,44,Male
349,conformal,94,381.7,55,Male
350,topk-vitb32,89,276.3,23,Male
351,topk-vitb32,83,391.2,24,Female
352,topk-vitb32,89,386.2,25,Male
353,topk-vitb32,90,354.8,44,Male
354,topk-vitb32,87,321.4,28,Female
355,topk-vitb32,82,303.7,21,Male
356,topk-vitb32,79,614.6,30,Female
357,topk-vitb32,88,463.9,26,Female
358,topk-vitb32,93,309.8,20,Female
359,topk-vitb32,83,355.4,36,Male
360,topk-vitb32,86,397.7,25,Female
361,topk-vitb32,83,375.6,38,Female
362,topk-vitb32,82,281.3,21,Male
363,topk-vitb32,86,586.5,22,Female
364,topk-vitb32,85,443.0,25,Female
365,topk-vitb32,84,366.3,37,Male
366,topk-vitb32,87,406.2,44,Male
367,topk-vitb32,91,427.4,21,Male
368,topk-vitb32,91,620.6,23,Female
369,topk-vitb32,89,360.9,32,Female
370,topk-vitb32,88,427.4,34,Male
371,topk-vitb32,77,261.3,18,Male
372,topk-vitb32,94,191.8,24,Male
373,topk-vitb32,82,377.9,21,Female
374,topk-vitb32,90,567.0,26,Female
375,topk-vitb32,89,266.0,28,Male
376,topk-vitb32,85,313.8,25,Male
377,topk-vitb32,74,603.0,53,Male
378,topk-vitb32,84,415.6,23,Female
379,topk-vitb32,86,718.8,27,Female
380,topk-vitb32,79,306.3,21,Male
381,topk-vitb32,87,276.6,30,Female
382,topk-vitb32,79,705.5,30,Male
383,topk-vitb32,87,272.3,32,Male
384,topk-vitb32,81,368.2,32,Male
385,topk-vitb32,85,405.3,22,Female
386,topk-vitb32,91,379.4,21,Male
387,topk-vitb32,85,377.9,47,Female
388,topk-vitb32,86,399.1,29,Male
389,topk-vitb32,90,269.5,28,Male
390,topk-vitb32,85,663.7,34,Male
391,topk-vitb32,82,623.7,61,Female
392,topk-vitb32,86,486.2,21,Male
393,topk-vitb32,91,494.3,20,Female
394,topk-vitb32,69,456.6,44,Male
395,topk-vitb32,84,659.1,24,Female
396,topk-vitb32,90,355.6,21,Male
397,topk-vitb32,86,313.4,27,Female
398,topk-vitb32,87,449.4,22,Male
399,topk-vitb32,86,291.3,25,Male
400,conformal-vitb32,87,330.9,24,Male
401,conformal-vitb32,84,481.9,25,Male
402,conformal-vitb32,85,307.8,34,Male
403,conformal-vitb32,90,268.5,22,Male
404,conformal-vitb32,83,391.0,30,Male
405,conformal-vitb32,82,364.1,38,Female
406,conformal-vitb32,89,505.6,41,Female
407,conformal-vitb32,87,274.6,30,Male
408,conformal-vitb32,85,298.2,18,Male
409,conformal-vitb32,86,331.6,37,Male
410,conformal-vitb32,71,430.4,32,Female
411,conformal-vitb32,91,392.0,58,Female
412,conformal-vitb32,87,990.4,21,Male
413,conformal-vitb32,84,472.5,46,Female
414,conformal-vitb32,94,271.6,20,Male
415,conformal-vitb32,83,547.1,22,Female
416,conformal-vitb32,95,389.4,29,Male
417,conformal-vitb32,86,220.8,22,Male
418,conformal-vitb32,85,404.9,47,Male
419,conformal-vitb32,87,228.0,23,Male
420,conformal-vitb32,81,425.9,23,Male
421,conformal-vitb32,85,519.1,26,Female
422,conformal-vitb32,88,249.1,23,Male
423,conformal-vitb32,85,287.9,24,Female
424,conformal-vitb32,87,290.2,21,Male
425,conformal-vitb32,85,281.4,24,Male
426,conformal-vitb32,84,513.0,39,Female
427,conformal-vitb32,72,637.1,65,Female
428,conformal-vitb32,89,306.0,27,Male
429,conformal-vitb32,81,434.4,22,Female
430,conformal-vitb32,84,300.0,30,Female
431,conformal-vitb32,77,342.9,39,Female
432,conformal-vitb32,87,286.5,26,Female
433,conformal-vitb32,89,496.1,20,Female
434,conformal-vitb32,81,307.8,24,Female
435,conformal-vitb32,82,221.2,26,Male
436,conformal-vitb32,83,304.6,20,Male
437,conformal-vitb32,91,280.6,30,Male
438,conformal-vitb32,88,631.1,22,Female
439,conformal-vitb32,87,474.9,23,Male
440,conformal-vitb32,87,422.1,32,Male
441,conformal-vitb32,87,317.7,27,Female
442,conformal-vitb32,89,412.2,34,Male
443,conformal-vitb32,91,308.7,25,Male
444,conformal-vitb32,90,384.8,30,Male
445,conformal-vitb32,88,774.9,35,Female
446,conformal-vitb32,88,680.5,29,Male
447,conformal-vitb32,83,448.3,65,Male
448,conformal-vitb32,94,451.0,20,Male
449,conformal-vitb32,83,622.1,23,Male
